CybORG v2.1, Scenario2, Commit Hash: Not using git
author: Johannes Loevenich, team: Team.KI, technique: PPO + Greedy decoys
wrappers: ChallengeWrapper2(env=env, agent_name='Blue')
steps: 20, adversary: B_lineAgent, mean: -6.946, standard deviation 1.568530161867112
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.214.176/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.214.187'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.214.187'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.120.158'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.120.158'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.214.187'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.120.158'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.120.158'), ('Remove User2', 'ExploitRemoteService 10.0.214.187'), ('DecoyTomcat Op_Server0', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.120.158'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.120.158'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.214.187'), ('DecoyVsftpd Op_Server0', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.120.158'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.120.158'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Remove User2', 'ExploitRemoteService 10.0.120.158')], total reward: -5.8
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.60.224/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.60.232'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.60.232'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.50.21'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.50.21'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.60.232'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.50.21'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.50.21'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.60.232'), ('DecoyTomcat Op_Server0', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.50.21'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.50.21'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.60.232'), ('DecoyVsftpd Op_Server0', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.50.21'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.50.21'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Remove User2', 'ExploitRemoteService 10.0.50.21')], total reward: -6.6
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.195.176/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.195.187'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.195.187'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.235.234'), ('Analyse User2', 'ExploitRemoteService 10.0.235.234'), ('Analyse User2', 'ExploitRemoteService 10.0.195.187'), ('DecoyTomcat Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.235.234'), ('Analyse User2', 'ExploitRemoteService 10.0.235.234'), ('Restore Enterprise0', 'PrivilegeEscalate Enterprise0'), ('Remove User2', 'ExploitRemoteService 10.0.235.234'), ('Remove User2', 'ExploitRemoteService 10.0.195.187'), ('DecoyVsftpd Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.235.234'), ('Analyse User2', 'ExploitRemoteService 10.0.235.234'), ('Restore Enterprise0', 'PrivilegeEscalate Enterprise0'), ('Remove User2', 'ExploitRemoteService 10.0.235.234'), ('Restore Enterprise0', 'PrivilegeEscalate Enterprise0'), ('Remove User2', 'ExploitRemoteService 10.0.235.234')], total reward: -6.5
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.167.96/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.167.108'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.167.108'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.149.218'), ('Analyse User2', 'ExploitRemoteService 10.0.149.218'), ('Analyse User2', 'ExploitRemoteService 10.0.167.108'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.167.108'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.167.108'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.167.108'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.167.108'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.167.108'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.167.108'), ('Restore User3', 'PrivilegeEscalate User3')], total reward: -8.8
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.226.112/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.226.123'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.226.123'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.142.171'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.142.171'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.142.171'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.142.171'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.142.171'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.142.171'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.142.171'), ('Analyse Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Restore Enterprise1', 'DiscoverRemoteSystems 10.0.142.160/28'), ('Analyse User2', 'DiscoverNetworkServices 10.0.142.163'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.142.163')], total reward: -9.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.188.192/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.188.197'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.188.197'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.22.185'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.22.185'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.22.185'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.22.185'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.22.185'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.22.185'), ('Analyse Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Restore Enterprise1', 'DiscoverRemoteSystems 10.0.22.176/28'), ('Analyse User2', 'DiscoverNetworkServices 10.0.22.182'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.22.182'), ('Restore Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.22.182')], total reward: -8.1
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.253.64/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.253.71'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.253.71'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.112.166'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.112.166'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.112.166'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.112.166'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.112.166'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.112.166'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.112.166'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.112.166'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.112.166')], total reward: -8.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.83.48/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.83.56'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.83.56'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.124.54'), ('Analyse User2', 'ExploitRemoteService 10.0.124.54'), ('Restore Enterprise0', 'PrivilegeEscalate Enterprise0'), ('Remove User2', 'ExploitRemoteService 10.0.124.54'), ('Remove User2', 'ExploitRemoteService 10.0.83.56'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.83.56'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.83.56'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.83.56'), ('Remove User2', 'ExploitRemoteService 10.0.83.56'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.83.56'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.83.56')], total reward: -7.6
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.198.64/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.198.76'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.198.76'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.23.237'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.23.237'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.198.76'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.23.237'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.23.237'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.198.76'), ('DecoyTomcat Op_Server0', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.23.237'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.23.237'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.198.76'), ('DecoyVsftpd Op_Server0', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.23.237'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.23.237'), ('Remove User2', 'ExploitRemoteService 10.0.198.76'), ('DecoyVsftpd User3', 'PrivilegeEscalate User1')], total reward: -4.9
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.204.240/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.204.253'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.204.253'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.186.99'), ('Analyse User2', 'ExploitRemoteService 10.0.186.99'), ('Analyse User2', 'ExploitRemoteService 10.0.204.253'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.204.253'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.204.253'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.204.253'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.204.253'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.204.253'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.204.253'), ('Restore User3', 'PrivilegeEscalate User3')], total reward: -8.6
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.192.112/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.192.117'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.192.117'), ('DecoyTomcat Enterprise0', 'PrivilegeEscalate User4'), ('DecoyVsftpd Enterprise0', 'DiscoverNetworkServices 10.0.136.141'), ('Analyse User2', 'ExploitRemoteService 10.0.136.141'), ('Analyse User2', 'ExploitRemoteService 10.0.192.117'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.136.141'), ('Analyse User2', 'ExploitRemoteService 10.0.136.141'), ('Analyse User2', 'ExploitRemoteService 10.0.192.117'), ('DecoyTomcat Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.136.141'), ('Analyse User2', 'ExploitRemoteService 10.0.136.141'), ('Analyse User2', 'ExploitRemoteService 10.0.192.117'), ('DecoyVsftpd Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.136.141'), ('Analyse User2', 'ExploitRemoteService 10.0.136.141'), ('Analyse User2', 'ExploitRemoteService 10.0.192.117'), ('DecoyApache Enterprise0', 'PrivilegeEscalate User4')], total reward: -4.0
