CybORG v2.1, Scenario2, Commit Hash: Not using git
author: Johannes Loevenich, team: Team.KI, technique: PPO + Greedy decoys
wrappers: ChallengeWrapper2(env=env, agent_name='Blue')
steps: 6, adversary: B_lineAgent, mean: -1.164, standard deviation 0.141078100012122
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.214.176/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.214.187'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.214.187'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.120.158'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.120.158')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.89.128/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.89.136'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.89.136'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.60.8'), ('Analyse User2', 'ExploitRemoteService 10.0.60.8')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.60.224/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.60.232'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.60.232'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.50.21'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.50.21')], total reward: -1.1
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.44.128/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.44.132'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.44.132'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.85.77'), ('Analyse User2', 'ExploitRemoteService 10.0.85.77')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.20.32/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.20.38'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.20.38'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.33.244'), ('Analyse User2', 'ExploitRemoteService 10.0.33.244')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.177.112/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.177.117'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.177.117'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.165.215'), ('Analyse User2', 'ExploitRemoteService 10.0.165.215')], total reward: -1.1
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.104.208/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.104.216'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.104.216'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.106.113'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.106.113')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.72.240/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.72.244'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.72.244'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.232.40'), ('Analyse User2', 'ExploitRemoteService 10.0.232.40')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.71.112/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.71.126'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.71.126'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.71.126'), ('DecoyTomcat Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.205.102')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.88.192/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.88.205'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.88.205'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.186.42'), ('Analyse User2', 'ExploitRemoteService 10.0.186.42')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.50.128/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.50.136'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.50.136'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.41.180'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.41.180')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.67.208/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.67.219'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.67.219'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.196.234'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.196.234')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.209.80/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.209.89'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.209.89'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.21.115'), ('Analyse User2', 'ExploitRemoteService 10.0.21.115')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.79.240/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.79.241'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.79.241'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.4.165'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.4.165')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.84.48/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.84.60'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.84.60'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.51.98'), ('Analyse User2', 'ExploitRemoteService 10.0.51.98')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.161.208/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.161.209'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.161.209'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.90.148'), ('Analyse User2', 'ExploitRemoteService 10.0.90.148')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.253.240/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.253.242'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.253.242'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.165.65'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.165.65')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.204.240/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.204.253'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.204.253'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.186.99'), ('Analyse User2', 'ExploitRemoteService 10.0.186.99')], total reward: -1.1
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.67.160/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.67.169'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.67.169'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.177.150'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.177.150')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.13.48/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.13.55'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.13.55'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.13.55'), ('DecoyTomcat Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.39.233')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.115.0/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.115.4'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.115.4'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.159.120'), ('Analyse User2', 'ExploitRemoteService 10.0.159.120')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.92.144/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.92.152'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.92.152'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.91.100'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.91.100')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.228.208/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.228.216'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.228.216'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.210.23'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.210.23')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.112.128/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.112.138'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.112.138'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.34.125'), ('Analyse User2', 'ExploitRemoteService 10.0.34.125')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.139.64/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.139.77'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.139.77'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.126.226'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.126.226')], total reward: -1.1
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.89.32/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.89.41'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.89.41'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.237.4'), ('Analyse User2', 'ExploitRemoteService 10.0.237.4')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.65.240/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.65.249'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.65.249'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.80.68'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.80.68')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.85.176/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.85.180'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.85.180'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.110.205'), ('Analyse User2', 'ExploitRemoteService 10.0.110.205')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.173.160/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.173.163'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.173.163'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.96.203'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.96.203')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.206.96/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.206.105'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.206.105'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.129.107'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.129.107')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.56.192/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.56.195'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.56.195'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.39.109'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.39.109')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.199.128/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.199.131'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.199.131'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.107.164'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.107.164')], total reward: -1.1
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.73.96/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.73.99'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.73.99'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.112.236'), ('Analyse User2', 'ExploitRemoteService 10.0.112.236')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.16.128/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.16.142'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.16.142'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.238.228'), ('Analyse User2', 'ExploitRemoteService 10.0.238.228')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.250.128/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.250.136'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.250.136'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.79.106'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.79.106')], total reward: -1.1
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.152.176/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.152.177'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.152.177'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.198.200'), ('Analyse User2', 'ExploitRemoteService 10.0.198.200')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.7.240/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.7.249'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.7.249'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.67.24'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.67.24')], total reward: -1.1
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.119.160/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.119.174'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.119.174'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.4.73'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.4.73')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.222.160/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.222.167'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.222.167'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.205.27'), ('Analyse User2', 'ExploitRemoteService 10.0.205.27')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.29.176/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.29.178'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.29.178'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.150.209'), ('Analyse User2', 'ExploitRemoteService 10.0.150.209')], total reward: -1.2
