CybORG v2.1, Scenario2, Commit Hash: Not using git
author: Johannes Loevenich, team: Team.KI, technique: PPO + Greedy decoys
wrappers: ChallengeWrapper2(env=env, agent_name='Blue')
steps: 7, adversary: B_lineAgent, mean: -1.597, standard deviation 0.5248289764727693
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.214.176/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.214.187'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.214.187'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.120.158'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.120.158'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.214.187')], total reward: -1.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.198.240/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.198.250'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.198.250'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.159.115'), ('Analyse User2', 'ExploitRemoteService 10.0.159.115'), ('Analyse User2', 'ExploitRemoteService 10.0.198.250')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.131.80/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.131.85'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.131.85'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.131.85'), ('DecoyTomcat Enterprise0', 'ExploitRemoteService 10.0.131.85'), ('DecoyVsftpd Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.231.235')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.4.0/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.4.4'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.4.4'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.31.71'), ('Analyse User2', 'ExploitRemoteService 10.0.31.71'), ('Restore Enterprise0', 'PrivilegeEscalate Enterprise0')], total reward: -2.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.39.16/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.39.28'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.39.28'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.17.61'), ('Analyse User2', 'ExploitRemoteService 10.0.17.61'), ('Restore Enterprise0', 'PrivilegeEscalate Enterprise0')], total reward: -2.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.38.144/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.38.146'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.38.146'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.233.56'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.233.56'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1')], total reward: -3.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.80.16/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.80.27'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.80.27'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.52.142'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.52.142'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1')], total reward: -3.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.118.240/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.118.250'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.118.250'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.47.107'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.47.107'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1')], total reward: -2.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.184.240/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.184.242'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.184.242'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.202.74'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.202.74'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.184.242')], total reward: -1.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.43.208/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.43.221'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.43.221'), ('DecoyTomcat Enterprise0', 'PrivilegeEscalate User4'), ('DecoyVsftpd Enterprise0', 'DiscoverNetworkServices 10.0.173.214'), ('Analyse User2', 'ExploitRemoteService 10.0.173.214'), ('Analyse User2', 'ExploitRemoteService 10.0.43.221')], total reward: -0.5
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.62.80/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.62.92'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.62.92'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.219.69'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.219.69'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.62.92')], total reward: -1.2
