CybORG v2.1, Scenario2, Commit Hash: Not using git
author: Johannes Loevenich, team: Team.KI, technique: PPO + Greedy decoys
wrappers: ChallengeWrapper2(env=env, agent_name='Blue')
steps: 8, adversary: B_lineAgent, mean: -1.798, standard deviation 0.5316222551983901
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.214.176/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.214.187'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.214.187'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.120.158'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.120.158'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.214.187'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User1')], total reward: -1.4
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.6.80/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.6.92'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.6.92'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.128.124'), ('Analyse User2', 'ExploitRemoteService 10.0.128.124'), ('Analyse User2', 'ExploitRemoteService 10.0.6.92'), ('DecoyTomcat Op_Server0', 'PrivilegeEscalate User4')], total reward: -1.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.79.16/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.79.17'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.79.17'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.177.177'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.177.177'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Remove User2', 'ExploitRemoteService 10.0.177.177')], total reward: -2.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.220.192/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.220.193'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.220.193'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.133.150'), ('Analyse User2', 'ExploitRemoteService 10.0.133.150'), ('Restore Enterprise0', 'PrivilegeEscalate Enterprise0'), ('Remove User2', 'ExploitRemoteService 10.0.133.150')], total reward: -2.1
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.252.160/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.252.172'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.252.172'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.170.85'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.170.85'), ('Remove User2', 'ExploitRemoteService 10.0.252.172'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User1')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.15.0/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.15.2'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.15.2'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.62.38'), ('Analyse User2', 'ExploitRemoteService 10.0.62.38'), ('Analyse User2', 'ExploitRemoteService 10.0.15.2'), ('Restore User3', 'PrivilegeEscalate User3')], total reward: -2.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.104.112/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.104.124'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.104.124'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.164.40'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.164.40'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.104.124'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User1')], total reward: -1.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.111.144/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.111.148'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.111.148'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.242.8'), ('Analyse User2', 'ExploitRemoteService 10.0.242.8'), ('Analyse User2', 'ExploitRemoteService 10.0.111.148'), ('DecoyTomcat Op_Server0', 'PrivilegeEscalate User4')], total reward: -1.4
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.232.192/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.232.203'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.232.203'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.27.149'), ('Analyse User2', 'ExploitRemoteService 10.0.27.149'), ('Analyse User2', 'ExploitRemoteService 10.0.232.203'), ('Restore User3', 'PrivilegeEscalate User3')], total reward: -2.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.180.64/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.180.75'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.180.75'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.65.146'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.65.146'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.180.75'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User1')], total reward: -1.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.30.64/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.30.70'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.30.70'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.149.86'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.149.86'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.30.70'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User1')], total reward: -1.3
