CybORG v2.1, Scenario2, Commit Hash: Not using git
author: Johannes Loevenich, team: Team.KI, technique: PPO + Greedy decoys
wrappers: ChallengeWrapper2(env=env, agent_name='Blue')
steps: 11, adversary: B_lineAgent, mean: -3.132, standard deviation 0.7400354891844886
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.214.176/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.214.187'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.214.187'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.120.158'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.120.158'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.214.187'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.120.158'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.120.158'), ('Remove User2', 'ExploitRemoteService 10.0.214.187')], total reward: -2.5
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.41.80/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.41.91'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.41.91'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.198.164'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.198.164'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.41.91'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.198.164'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.198.164'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.41.91')], total reward: -2.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.212.80/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.212.92'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.212.92'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.168.57'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.168.57'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.212.92'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.168.57'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.168.57'), ('Remove User2', 'ExploitRemoteService 10.0.212.92')], total reward: -2.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.213.224/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.213.227'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.213.227'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.105.141'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.105.141'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Remove User2', 'ExploitRemoteService 10.0.105.141'), ('Remove User2', 'ExploitRemoteService 10.0.213.227'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.105.141')], total reward: -3.4
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.43.0/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.43.6'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.43.6'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.218.18'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.218.18'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.218.18'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.218.18'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1')], total reward: -4.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.209.48/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.209.57'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.209.57'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.29.151'), ('Analyse User2', 'ExploitRemoteService 10.0.29.151'), ('Analyse User2', 'ExploitRemoteService 10.0.209.57'), ('DecoyTomcat Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.29.151'), ('Analyse User2', 'ExploitRemoteService 10.0.29.151'), ('Restore Enterprise0', 'PrivilegeEscalate Enterprise0')], total reward: -3.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.181.64/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.181.67'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.181.67'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.71.119'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.71.119'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.71.119'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.71.119'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1')], total reward: -4.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.1.240/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.1.242'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.1.242'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.83.107'), ('Analyse User2', 'ExploitRemoteService 10.0.83.107'), ('Restore Enterprise0', 'PrivilegeEscalate Enterprise0'), ('Remove User2', 'ExploitRemoteService 10.0.83.107'), ('Remove User2', 'ExploitRemoteService 10.0.1.242'), ('DecoyTomcat Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.83.107')], total reward: -3.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.183.192/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.183.198'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.183.198'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.139.140'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.139.140'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.183.198'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.139.140'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.139.140'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.183.198')], total reward: -2.5
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.21.112/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.21.125'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.21.125'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.135.7'), ('Analyse User2', 'ExploitRemoteService 10.0.135.7'), ('Restore Enterprise0', 'PrivilegeEscalate Enterprise0'), ('Remove User2', 'ExploitRemoteService 10.0.135.7'), ('Restore Enterprise0', 'PrivilegeEscalate Enterprise0'), ('Remove User2', 'ExploitRemoteService 10.0.135.7'), ('Restore Enterprise0', 'PrivilegeEscalate Enterprise0')], total reward: -4.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.222.128/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.222.131'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.222.131'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.56.85'), ('Analyse User2', 'ExploitRemoteService 10.0.56.85'), ('Analyse User2', 'ExploitRemoteService 10.0.222.131'), ('DecoyTomcat Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.56.85'), ('Analyse User2', 'ExploitRemoteService 10.0.56.85'), ('Restore Enterprise0', 'PrivilegeEscalate Enterprise0')], total reward: -3.4
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.22.64/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.22.76'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.22.76'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.246.54'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.246.54'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.22.76'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.246.54'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.246.54'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.22.76')], total reward: -2.4
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.82.48/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.82.53'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.82.53'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.80.93'), ('Analyse User2', 'ExploitRemoteService 10.0.80.93'), ('Analyse User2', 'ExploitRemoteService 10.0.82.53'), ('DecoyTomcat Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.80.93'), ('Analyse User2', 'ExploitRemoteService 10.0.80.93'), ('Analyse User2', 'ExploitRemoteService 10.0.82.53')], total reward: -2.5
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.210.112/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.210.113'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.210.113'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.174.85'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.174.85'), ('Analyse User2', 'ExploitRemoteService 10.0.210.113'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.174.85'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.174.85'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1')], total reward: -3.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.18.112/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.18.116'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.18.116'), ('Analyse Enterprise2', 'PrivilegeEscalate User2'), ('Analyse Enterprise2', 'DiscoverNetworkServices 10.0.192.118'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.192.118'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.192.118'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Restore User2', 'ExploitRemoteService 10.0.192.118'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1')], total reward: -4.6000000000000005
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.4.144/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.4.147'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.4.147'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.140.137'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.140.137'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.140.137'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.140.137'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1')], total reward: -4.1
