CybORG v2.1, Scenario2, Commit Hash: Not using git
author: Johannes Loevenich, team: Team.KI, technique: PPO + Greedy decoys
wrappers: ChallengeWrapper2(env=env, agent_name='Blue')
steps: 13, adversary: B_lineAgent, mean: -4.247, standard deviation 0.8068463361142629
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.214.176/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.214.187'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.214.187'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.120.158'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.120.158'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.214.187'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.120.158'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.120.158'), ('Remove User2', 'ExploitRemoteService 10.0.214.187'), ('DecoyTomcat Op_Server0', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.120.158')], total reward: -3.6
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.16.32/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.16.41'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.16.41'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.193.220'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.193.220'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Remove User2', 'ExploitRemoteService 10.0.193.220'), ('Remove User2', 'ExploitRemoteService 10.0.16.41'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.193.220'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.193.220'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.16.41')], total reward: -3.5
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.55.160/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.55.166'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.55.166'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.153.56'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.153.56'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.153.56'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.153.56'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.153.56'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1')], total reward: -5.1
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.169.64/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.169.78'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.169.78'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.7.221'), ('Analyse User2', 'ExploitRemoteService 10.0.7.221'), ('Analyse User2', 'ExploitRemoteService 10.0.169.78'), ('DecoyTomcat Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.7.221'), ('Analyse User2', 'ExploitRemoteService 10.0.7.221'), ('Restore Enterprise0', 'PrivilegeEscalate Enterprise0'), ('Remove User2', 'ExploitRemoteService 10.0.7.221'), ('Restore Enterprise0', 'PrivilegeEscalate Enterprise0')], total reward: -4.4
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.43.0/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.43.6'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.43.6'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.218.18'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.218.18'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.218.18'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.218.18'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.218.18'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1')], total reward: -5.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.55.144/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.55.147'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.55.147'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.46.146'), ('Analyse User2', 'ExploitRemoteService 10.0.46.146'), ('Analyse User2', 'ExploitRemoteService 10.0.55.147'), ('DecoyTomcat Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.46.146'), ('Analyse User2', 'ExploitRemoteService 10.0.46.146'), ('Analyse User2', 'ExploitRemoteService 10.0.55.147'), ('DecoyVsftpd Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.46.146')], total reward: -3.6
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.181.240/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.181.242'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.181.242'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.110.113'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.110.113'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.110.113'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.110.113'), ('Analyse Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Restore Enterprise1', 'DiscoverRemoteSystems 10.0.110.112/28'), ('Analyse User2', 'DiscoverNetworkServices 10.0.110.121')], total reward: -5.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.130.208/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.130.219'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.130.219'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.233.81'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.233.81'), ('Remove User2', 'ExploitRemoteService 10.0.130.219'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.233.81'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.233.81'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Remove User2', 'ExploitRemoteService 10.0.233.81'), ('Remove User2', 'ExploitRemoteService 10.0.130.219')], total reward: -4.5
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.202.128/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.202.135'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.202.135'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.12.243'), ('Analyse User2', 'ExploitRemoteService 10.0.12.243'), ('Analyse User2', 'ExploitRemoteService 10.0.202.135'), ('DecoyTomcat Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.12.243'), ('Analyse User2', 'ExploitRemoteService 10.0.12.243'), ('Analyse User2', 'ExploitRemoteService 10.0.202.135'), ('DecoyVsftpd Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.12.243')], total reward: -3.6
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.218.176/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.218.178'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.218.178'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.218.178'), ('DecoyTomcat Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.86.42'), ('Analyse User2', 'ExploitRemoteService 10.0.86.42'), ('Analyse User2', 'ExploitRemoteService 10.0.218.178'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.218.178'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.218.178'), ('Restore User3', 'PrivilegeEscalate User3')], total reward: -4.4
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.6.240/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.6.243'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.6.243'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.159.109'), ('Analyse User2', 'ExploitRemoteService 10.0.159.109'), ('Analyse User2', 'ExploitRemoteService 10.0.6.243'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.6.243'), ('Remove User2', 'ExploitRemoteService 10.0.6.243'), ('Remove User2', 'ExploitRemoteService 10.0.6.243'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.6.243')], total reward: -3.4
