CybORG v2.1, Scenario2, Commit Hash: Not using git
author: Johannes Loevenich, team: Team.KI, technique: PPO + Greedy decoys
wrappers: ChallengeWrapper2(env=env, agent_name='Blue')
steps: 10, adversary: B_lineAgent, mean: -2.809, standard deviation 0.6375608507302173
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.214.176/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.214.187'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.214.187'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.120.158'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.120.158'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.214.187'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.120.158'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.120.158')], total reward: -2.4
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.147.96/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.147.102'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.147.102'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.246.186'), ('Analyse User2', 'ExploitRemoteService 10.0.246.186'), ('Analyse User2', 'ExploitRemoteService 10.0.147.102'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.147.102'), ('Restore User3', 'PrivilegeEscalate User3')], total reward: -3.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.91.64/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.91.66'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.91.66'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.222.250'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.222.250'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.91.66'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.222.250'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.222.250')], total reward: -2.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.255.48/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.255.51'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.255.51'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.253.174'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.253.174'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.253.174'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.253.174')], total reward: -3.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.99.208/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.99.213'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.99.213'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.53.237'), ('Analyse User2', 'ExploitRemoteService 10.0.53.237'), ('Analyse User2', 'ExploitRemoteService 10.0.99.213'), ('DecoyTomcat Op_Server0', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.53.237'), ('Analyse User2', 'ExploitRemoteService 10.0.53.237')], total reward: -2.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.157.144/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.157.151'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.157.151'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.41.83'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.41.83'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Remove User2', 'ExploitRemoteService 10.0.41.83'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Remove User2', 'ExploitRemoteService 10.0.41.83')], total reward: -4.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.203.240/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.203.245'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.203.245'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Restore User2', 'DiscoverNetworkServices 10.0.0.34'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.0.34'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.0.34'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.0.34')], total reward: -3.2
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.66.32/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.66.33'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.66.33'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('Restore User3', 'DiscoverNetworkServices 10.0.75.131'), ('Analyse User2', 'ExploitRemoteService 10.0.75.131'), ('Analyse User2', 'ExploitRemoteService 10.0.66.33'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.66.33'), ('Restore User3', 'PrivilegeEscalate User3')], total reward: -3.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.253.144/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.253.147'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.253.147'), ('Analyse Enterprise2', 'PrivilegeEscalate User2'), ('Analyse Enterprise2', 'DiscoverNetworkServices 10.0.4.189'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.4.189'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User2', 'ExploitRemoteService 10.0.4.189'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Restore User2', 'ExploitRemoteService 10.0.4.189')], total reward: -3.7
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.120.112/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.120.122'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.120.122'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.254.84'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.254.84'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.120.122'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.254.84'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.254.84')], total reward: -2.3
actions: [('DecoyFemitter Enterprise2', 'DiscoverRemoteSystems 10.0.174.48/28'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.174.51'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.174.51'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate User3'), ('DecoyTomcat Enterprise0', 'DiscoverNetworkServices 10.0.20.129'), ('Analyse User2', 'ExploitRemoteService 10.0.20.129'), ('Analyse User2', 'ExploitRemoteService 10.0.174.51'), ('Restore User3', 'PrivilegeEscalate User3'), ('Remove User2', 'ExploitRemoteService 10.0.174.51'), ('Restore User3', 'PrivilegeEscalate User3')], total reward: -2.5
